wha,T1,itdt,T2,TCSapp,F1,T4,T3,F2,FWSapp,Unit,costHX,areaHX,Hxweight,CO2_Footprint
1.0,20,10,30,2,1503.6,18,28,1435.2,2,AQ4L-FG,20118,693.6,"1,139",3000
1.0,20,10,30,3,1503.6,17,27,1434.6,3,AQ4L-FG,16189,693.6,"1,005",3000
1.0,20,10,30,5,1503.6,15,25,1433.4,5,AQ4L-PFG,12285,693.6,887,3000
1.0,20,12,32,2,1253.4,18,30,1196.4,2,AQ4L-FG,20679,693.6,"1,158",3000
1.0,20,12,32,3,1253.4,17,29,1195.8,3,AQ4L-FG,15855,693.6,968,3000
1.0,20,12,32,5,1253.4,15,27,1194.6,5,AQ4L-PFG,12285,693.6,886,3000
1.0,20,14,34,2,1074.6,18,32,1026,2,AQ4L-FG,21481,693.6,"1,186",3000
1.0,30,4,34,3,1073.4,27,31,1030.2,3,AQ4L-FG,14262,693.6,913,3000
1.0,20,14,34,3,1074.6,17,31,1025.4,3,AQ4L-FG,15064,693.6,941,3000
1.0,20,14,34,5,1074.6,15,29,1024.2,5,AQ4L-FG,11456,693.6,818,3000
1.0,30,10,40,2,1501.8,28,38,1442.4,2,AQ4L-FG,19075,693.6,"1,103",3000
1.0,30,10,40,2,1501.8,28,38,1442.4,2,AQ4L-FG,19075,693.6,"1,103",3000
1.0,30,10,40,3,1501.8,27,37,1441.8,3,AQ4L-FG,14743,693.6,930,3000
1.0,30,10,40,3,1501.8,27,37,1441.8,3,AQ4L-FG,14743,693.6,930,3000
1.0,30,10,40,5,1501.8,25,35,1440.6,5,AQ4L-PFG,11098,693.6,840,3000
1.0,30,10,40,5,1501.8,25,35,1440.6,5,AQ4L-PFG,11098,693.6,840,3000
1.0,30,12,42,2,1251.6,28,40,1202.4,2,AQ4L-FG,18755,693.6,"1,092",3000
1.0,30,12,42,2,1251.6,28,40,1202.4,2,AQ4L-FG,18755,693.6,"1,092",3000
1.0,30,12,42,3,1251.6,27,39,1201.8,3,AQ4L-FG,14743,693.6,930,3000
1.0,30,12,42,3,1251.6,27,39,1201.8,3,AQ4L-FG,14743,693.6,930,3000
1.0,30,12,42,5,1251.6,25,37,1200.6,5,AQ4L-PFG,11338,693.6,850,3000
1.0,30,12,42,5,1251.6,25,37,1200.6,5,AQ4L-PFG,11338,693.6,850,3000
1.0,30,14,44,2,1073.4,28,42,1030.8,2,AQ4L-FG,18755,693.6,"1,092",3000
1.0,30,14,44,2,1073.4,28,42,1030.8,2,AQ4L-FG,18755,693.6,"1,092",3000
1.0,30,14,44,3,1073.4,27,41,1030.2,3,AQ4L-FG,14262,693.6,913,3000
1.0,30,14,44,5,1073.4,25,39,1029,5,AQ4L-PFG,11178,693.6,843,3000
1.0,30,14,44,5,1073.4,25,39,1029,5,AQ4L-PFG,11178,693.6,843,3000
2.0,20,10,30,2,3006.6,18,28,2871,2,AQ6T-BFG,37518,1387.2,"2,374",3000
