wha,T1,itdt,T2,TCSapp,F1,T4,T3,F2,FWSapp,Unit,costHX,areaHX,Hxweight,CO2_Footprint,,,,,,,,,,
1.0,20,10,30,2,"1,493",18,28,"1,440",2,B427 H+M2/SPx701,"11,024",0.64,424,"2,183",,,,,,,,,,
1.0,20,10,30,3,"1,493",17,27,"1,440",3,B439 H+Mx310,"7,582",0.29,292,"1,502",,,,,,,,,,
1.0,20,10,30,5,"1,493",15,25,"1,440",5,B439Mx170,"4,342",0.16,167,860,,,,,,,,,,
1.0,20,12,32,2,"1,244",18,30,"1,200",2,B427H/SPx721,"11,630",0.66,447,"2,303",,,,,,,,,,
1.0,20,12,32,3,"1,244",17,29,"1,200",3,B427M2x417,"6,966",0.39,268,"1,380",,,,,,,,,,
1.0,20,12,32,5,"1,244",15,27,"1,200",5,B400Tx228,"4,188",0.21,161,830,,,,,,,,,,
1.0,20,14,34,2,"1,067",18,32,"1,028",2,B439 H+M/SPx565,"13,482",0.52,519,"2,670",,,,,,,,,,
1.0,20,14,34,3,"1,067",17,31,"1,028",3,B439Mx337,"8,206",0.31,316,"1,625",,,,,,,,,,
1.0,20,14,34,5,"1,067",15,29,"1,028",5,B439 H+M+190,"4,805",0.18,185,952,,,,,,,,,,
1.0,30,10,40,2,"1,491",18,38,"1,445",2,B439M/SPx465,"14,820",0.45,570,"2,935",,,,,,,,,,
1.0,30,10,40,3,"1,491",27,37,"1,445",3,B439H+Mx286,"7,026",0.26,270,"1,392",,,,,,,,,,
1.0,30,10,40,5,"1,491",25,35,"1,445",5,B439Mx156,"6,084",0.15,234,"1,205",,,,,,,,,,
1.0,30,12,42,2,"1,242",28,40,"1,204",2,B427H+M2/SPx625,"10,157",0.57,391,"2,012",,,,,,,,,,
1.0,30,12,42,3,"1,242",27,39,"1,204",3,B439Hx258,"6,378",0.24,245,"1,263",,,,,,,,,,
1.0,30,12,42,5,"1,242",25,37,"1,204",5,B439H+Mx166,"6,188",0.15,238,"1,226",,,,,,,,,,
1.0,30,14,44,2,"1,065",28,42,"1,032",2,B439H+M/SPx509,"12,186",0.47,469,"2,414",,,,,,,,,,
1.0,30,14,44,3,"1,065",27,41,"1,032",3,B427M2x389,"6,537",0.36,251,"1,295",,,,,,,,,,
1.0,30,14,44,5,"1,065",25,39,"1,032",5,B439H+Mx168,"6,474",0.16,249,"1,282",,,,,,,,,,
1.0,45,10,55,2,"1,490",43,53,"1,455",2,B439Hx408,"9,854",0.38,379,"1,952",,,,,,,,,,
1.0,45,10,55,3,"1,490",42,52,"1,455",3,B439H+Mx248,"6,147",0.23,236,"1,217",,,,,,,,,,
1.0,45,10,55,5,"1,490",40,50,"1,455",5,B427M2x164,"3,085",0.16,119,611,,,,,,,,,,
1.0,45,12,57,2,"1,242",43,55,"1,212",2,B439Mx405,"9,780",0.37,376,"1,937",,,,,,,,,,
1.0,45,12,57,3,"1,242",42,54,"1,212",3,B439H+Mx242,"6,008",0.22,231,"1,190",,,,,,,,,,
1.0,45,12,57,5,"1,242",40,52,"1,212",5,B439Mx126,"3,324",0.12,128,658,,,,,,,,,,
1.0,45,14,59,2,"1,064",43,57,"1,039",2,B427H/SPx541,"8,868",0.50,341,"1,756",,,,,,,,,,
1.0,45,14,59,3,"1,064",42,56,"1,039",3,B439Hx246,"6,101",0.23,235,"1,208",,,,,,,,,,
1.0,45,14,59,5,"1,064",40,54,"1,039",5,B320HTHx256,"2,839",0.16,109,562,,,,,,,,,,
2.0,20,10,30,2,"2,986",18,28,"2,879",2,B649H/SPx452,"24,875",0.69,957,"4,927",,,,,,,,,,
2.0,20,10,30,3,"2,986",17,27,"2,879",3,B439 H+M/SPx696,"16,514",0.63,635,"3,271",,,,,,,,,,
2.0,20,10,30,5,"2,986",15,25,"2,879",5,B439Mx380,"9,201",0.35,354,"1,822",,,,,,,,,,
2.0,20,12,32,2,"2,489",18,30,"2,400",2,B649H/SPx524,"28,509",0.80,"1,096","5,646",,,,,,,,,,
2.0,20,12,32,3,"2,489",17,29,"2,400",3,B439H/SPx634,"15,079",0.58,580,"2,987",,,,,,,,,,
2.0,20,12,32,5,"2,489",15,27,"2,400",5,B439 H+Mx394,"9,525",0.36,366,"1,887",,,,,,,,,,
2.0,20,14,34,2,"2,133",18,32,"2,057",2,B649 H+HT/SPx470,"25,783",0.72,992,"5,107",,,,,,,,,,
2.0,20,14,34,3,"2,133",17,31,"2,057",3,B439M/SPx717,"17,000",0.65,654,"3,367",,,,,,,,,,
2.0,20,14,34,5,"2,133",15,29,"2,057",5,B439 H+Mx390,"9,433",0.36,363,"1,868",,,,,,,,,,
2.0,30,10,40,2,"2,982",28,38,"2,889",2,B649M+Hx398,"22,150",0.61,852,"4,387",,,,,,,,,,
2.0,30,10,40,3,"2,982",27,37,"2,889",3,B439 H+M/SPx616,"14,662",0.56,564,"2,904",,,,,,,,,,
2.0,30,10,40,5,"2,982",25,35,"2,889",5,B427M2x404,"6,767",0.37,260,"1,340",,,,,,,,,,
2.0,30,12,42,2,"2,485",28,40,"2,408",2,B649H/SPx442,"24,370",0.40,937,"4,827",,,,,,,,,,
2.0,30,12,42,3,"2,485",27,39,"2,408",3,B439H+M/SPx556,"13,274",0.51,511,"2,629",,,,,,,,,,
2.0,30,12,42,5,"2,485",25,37,"2,408",5,B439Mx338,"8,230",0.31,317,"1,630",,,,,,,,,,
2.0,30,14,44,2,"2,130",28,42,"2,064",2,B649 H+HT/SPx424,"23,462",0.65,902,"4,647",,,,,,,,,,
2.0,30,14,44,3,"2,130",27,41,"2,064",3,B427M2/SPx765,"12,305",0.70,473,"2,437",,,,,,,,,,
2.0,30,14,44,5,"2,130",25,39,"2,064",5,B439H+Mx342,"8,322",0.31,320,"1,648",,,,,,,,,,
